fn	arg1	arg2	arg3	value
fisherQ	3.4	4	45	0.016349491425070018
fisherQ	4.6	4	45	0.00336563034273774
fisherQ	5.8	4	45	0.0007487691809103072
fisherQ	7	4	45	0.00018036392270439223
fisherQ	8.2	4	45	4.686458026250632e-05
fisherQ	9.4	4	45	1.3064088905149472e-05
fisherQ	10.6	4	45	3.8849055651918754e-06
fisherQ	11.799999999999999	4	45	1.2257050774586392e-06
fisherQ	13	4	45	4.0824645249424564e-07
fisherQ	14.2	4	45	1.4289759433002542e-07
fisherQ	15.399999999999999	4	45	5.2351687710761374e-08
fisherQ	16.6	4	45	2.0001512313819976e-08
fisherQ	17.8	4	45	7.943488394444288e-09
fisherQ	19	4	45	3.269743625767794e-09
fisherQ	20.2	4	45	1.391355380022367e-09
fisherQ	21.4	4	45	6.106139660839698e-10
fisherQ	22.599999999999998	4	45	2.7579258377443217e-10
fisherQ	23.8	4	45	1.2795490557471857e-10
fisherQ	25	4	45	6.087500714182549e-11
fisherQ	26.2	4	45	2.9651511999388186e-11
fisherQ	27.4	4	45	1.4765878530823848e-11
fisherQ	28.599999999999998	4	45	7.50774129528349e-12
fisherQ	29.799999999999997	4	45	3.892941556586541e-12
fisherQ	31	4	45	2.0563117952243583e-12
fisherQ	32.2	4	45	1.1053628169479291e-12
fisherQ	33.4	4	45	6.04118685479016e-13
fisherQ	34.6	4	45	3.3540451708199893e-13
fisherQ	35.8	4	45	1.8901678039399165e-13
fisherQ	37	4	45	1.0804320072105453e-13
fisherQ	38.199999999999996	4	45	6.259848096610532e-14
fisherQ	39.4	4	45	3.673870101553143e-14
fisherQ	40.6	4	45	2.1828338450742237e-14
fisherQ	41.8	4	45	1.3122447960769655e-14
fisherQ	43	4	45	7.977787282415316e-15
fisherQ	44.199999999999996	4	45	4.9024586192127884e-15
fisherQ	45.4	4	45	3.0437778943126003e-15
fisherQ	46.6	4	45	1.9085135952987894e-15
fisherQ	47.8	4	45	1.2080577600172946e-15
fisherQ	49	4	45	7.716625059025333e-16
fisherQ	50.199999999999996	4	45	4.972341337297748e-16
fisherQ	51.4	4	45	3.2310496212743767e-16
fisherQ	52.6	4	45	2.1166005218081215e-16
fisherQ	53.8	4	45	1.3973901288085924e-16
fisherQ	55	4	45	9.295180662314909e-17
fisherQ	56.199999999999996	4	45	6.227930508715295e-17
fisherQ	57.4	4	45	4.202094684093597e-17
fisherQ	58.599999999999994	4	45	2.854434449312868e-17
fisherQ	59.8	4	45	1.951676039191211e-17
fisherQ	61	4	45	1.3428730238293188e-17
fisherQ	62.199999999999996	4	45	9.296349800241565e-18
fisherQ	63.4	4	45	6.4737401349028486e-18
fisherQ	64.6	4	45	4.534009148655321e-18
fisherQ	65.8	4	45	3.1931302967463675e-18
fisherQ	67	4	45	2.2609155404969262e-18
fisherQ	68.2	4	45	1.6092189754050866e-18
fisherQ	69.39999999999999	4	45	1.1511763112675726e-18
fisherQ	70.6	4	45	8.2756129092949405e-19
fisherQ	71.8	4	45	5.977624444979489e-19
TukeyQ	2	5	45	0.6219283692065424
TukeyQ	2.4	5	45	0.4460001853504356
TukeyQ	2.8	5	45	0.2921746276530178
TukeyQ	3.2	5	45	0.17611876351626776
TukeyQ	3.6	5	45	0.09851790000997118
TukeyQ	4	5	45	0.05158667721510202
TukeyQ	4.4	5	45	0.025496818605439286
TukeyQ	4.800000000000001	5	45	0.011987269924234156
TukeyQ	5.2	5	45	0.0053989914430762065
TukeyQ	5.6	5	45	0.0023444740306645118
TukeyQ	6	5	45	0.0009872423024825938
TukeyQ	6.4	5	45	0.00040522313711666147
TukeyQ	6.800000000000001	5	45	0.00016287920693180968
TukeyQ	7.2	5	45	6.43768240493614e-05
TukeyQ	7.6000000000000005	5	45	2.5111917281384066e-05
TukeyQ	8	5	45	9.699094942750008e-06
TukeyQ	8.4	5	45	3.7199379292474077e-06
TukeyQ	8.8	5	45	1.4203602849427455e-06
TukeyQ	9.2	5	45	5.411183021664101e-07
TukeyQ	9.600000000000001	5	45	2.0609609063804157e-07
TukeyQ	10	5	45	7.860977302431849e-08
TukeyQ	10.4	5	45	3.007196158755221e-08
TukeyQ	10.8	5	45	1.155285733744904e-08
TukeyQ	11.200000000000001	5	45	4.462208269551127e-09
TukeyQ	11.600000000000001	5	45	1.734504317951746e-09
TukeyQ	12	5	45	6.791442963560712e-10
TukeyQ	12.4	5	45	2.681144195548768e-10
TukeyQ	12.8	5	45	1.0683964823954284e-10
TukeyQ	13.200000000000001	5	45	4.305622525180297e-11
TukeyQ	13.600000000000001	5	45	1.761024659430177e-11
TukeyQ	14	5	45	7.368328169832239e-12
TukeyQ	14.4	5	45	3.20798942965439e-12
TukeyQ	14.8	5	45	1.4956924587750109e-12
TukeyQ	15.200000000000001	5	45	7.857048345272233e-13
TukeyQ	15.600000000000001	5	45	4.847233725513433e-13
TukeyQ	16	5	45	3.559375016948252e-13
TukeyQ	16.4	5	45	2.993161274389422e-13
TukeyQ	16.8	5	45	2.715605518233133e-13
TukeyQ	17.200000000000003	5	45	2.595701431573616e-13
TukeyQ	17.6	5	45	2.509104035652854e-13
invGaussQ	0.31622776601683794			0.47827353237616266
invGaussQ	0.1			1.2815515655446006
invGaussQ	0.03162277660168379			1.8574612929324568
invGaussQ	0.01			2.3263478740408408
invGaussQ	0.0031622776601683794			2.730462368651451
invGaussQ	0.001			3.090232306167813
invGaussQ	0.00031622776601683794			3.417299962442895
invGaussQ	0.0001			3.71901648545568
invGaussQ	3.1622776601683795e-05			4.000362402204139
invGaussQ	1e-05			4.264890793922825
invGaussQ	3.162277660168379e-06			4.515238476750143
invGaussQ	1e-06			4.753424308822899
invGaussQ	3.162277660168379e-07			4.981033609740274
invGaussQ	1e-07			5.199337582192818
invGaussQ	3.162277660168379e-08			5.409373648135922
invGaussQ	1e-08			5.612001244174788
invGaussQ	3.1622776601683795e-09			5.807941638278736
invGaussQ	1e-09			5.997807015007685
invGaussQ	3.1622776601683795e-10			6.182122157633901
invGaussQ	1e-10			6.361340902404057
invGaussQ	3.1622776601683794e-11			6.535858824211575
invGaussQ	1e-11			6.706023155495136
invGaussQ	3.1622776601683794e-12			6.872140640400363
invGaussQ	1e-12			7.034483825301132
invGaussQ	3.162277660168379e-13			7.193296149328536
invGaussQ	1e-13			7.348796102800677
invGaussQ	3.1622776601683796e-14			7.501180653620727
invGaussQ	1e-14			7.650628092935268
invGaussQ	3.1622776601683794e-15			7.797300415779551
invGaussQ	1e-15			7.941345326170995
invStudentQ	0.31622776601683794	45		0.4815552912108685
invStudentQ	0.1	45		1.3006493322502382
invStudentQ	0.03162277660168379	45		1.904529469688149
invStudentQ	0.01	45		2.412115875703359
invStudentQ	0.0031622776601683794	45		2.86453857809156
invStudentQ	0.001	45		3.281479848231682
invStudentQ	0.00031622776601683794	45		3.6740786354266888
invStudentQ	0.0001	45		4.049340013418545
invStudentQ	3.1622776601683795e-05	45		4.412005548105255
invStudentQ	1e-05	45		4.76546572784432
invStudentQ	3.162277660168379e-06	45		5.112251436784151
invStudentQ	1e-06	45		5.454319107710067
invStudentQ	3.162277660168379e-07	45		5.793226050833836
invStudentQ	1e-07	45		6.13024340572577
invStudentQ	3.162277660168379e-08	45		6.466431757691258
invStudentQ	1e-08	45		6.802693417399576
invStudentQ	3.1622776601683795e-09	45		7.139809572405996
invStudentQ	1e-09	45		7.478467322131483
invStudentQ	3.1622776601683795e-10	45		7.819279763561004
invStudentQ	1e-10	45		8.162801190202302
invStudentQ	3.1622776601683794e-11	45		8.50953878313469
invStudentQ	1e-11	45		8.859961737506351
invStudentQ	3.1622776601683794e-12	45		9.214508483341518
invStudentQ	1e-12	45		9.573592469396562
invStudentQ	3.162277660168379e-13	45		9.937606849140948
invStudentQ	1e-13	45		10.306928317871574
invStudentQ	3.1622776601683796e-14	45		10.681920286355563
invStudentQ	1e-14	45		11.062935530780338
invStudentQ	3.1622776601683794e-15	45		11.450318425621665
invStudentQ	1e-15	45		11.844406841613647
invChiSquareQ	0.31622776601683794	5		5.898431759238761
invChiSquareQ	0.1	5		9.236356899781116
invChiSquareQ	0.03162277660168379	5		12.241629783293533
invChiSquareQ	0.01	5		15.08627246938899
invChiSquareQ	0.0031622776601683794	5		17.83365001344651
invChiSquareQ	0.001	5		20.515005652432876
invChiSquareQ	0.00031622776601683794	5		23.14828410898114
invChiSquareQ	0.0001	5		25.744831959055876
invChiSquareQ	3.1622776601683795e-05	5		28.31231868744095
invChiSquareQ	1e-05	5		30.8561899404359
invChiSquareQ	3.162277660168379e-06	5		33.38046182204696
invChiSquareQ	1e-06	5		35.888186879672865
invChiSquareQ	3.162277660168379e-07	5		38.381743062081604
invChiSquareQ	1e-07	5		40.86302108810562
invChiSquareQ	3.162277660168379e-08	5		43.333550499128236
invChiSquareQ	1e-08	5		45.79458712308457
invChiSquareQ	3.1622776601683795e-09	5		48.24717538247248
invChiSquareQ	1e-09	5		50.692193701543026
invChiSquareQ	3.1622776601683795e-10	5		53.13038825893731
invChiSquareQ	1e-10	5		55.562398518238496
invChiSquareQ	3.1622776601683794e-11	5		57.98877684018782
invChiSquareQ	1e-11	5		60.41000375800516
invChiSquareQ	3.1622776601683794e-12	5		62.826500023434136
invChiSquareQ	1e-12	5		65.23863621336785
invChiSquareQ	3.162277660168379e-13	5		67.6467404695318
invChiSquareQ	1e-13	5		70.05110479230302
invChiSquareQ	3.1622776601683796e-14	5		72.45199020256742
invChiSquareQ	1e-14	5		74.84963100851124
invChiSquareQ	3.1622776601683794e-15	5		77.2442383581545
invChiSquareQ	1e-15	5		79.6360032170665
invFisherQ	0.31622776601683794	4	45	1.2186860864113531
invFisherQ	0.1	4	45	2.0741505628754244
invFisherQ	0.03162277660168379	4	45	2.913458268077763
invFisherQ	0.01	4	45	3.7674270817945024
invFisherQ	0.0031622776601683794	4	45	4.648522081937709
invFisherQ	0.001	4	45	5.563930521174546
invFisherQ	0.00031622776601683794	4	45	6.518758322141172
invFisherQ	0.0001	4	45	7.517159979099044
invFisherQ	3.1622776601683795e-05	4	45	8.56282916399218
invFisherQ	1e-05	4	45	9.659243411296307
invFisherQ	3.162277660168379e-06	4	45	10.809799631721775
invFisherQ	1e-06	4	45	12.017895955777826
invFisherQ	3.162277660168379e-07	4	45	13.28698511394808
invFisherQ	1e-07	4	45	14.620611832619662
invFisherQ	3.162277660168379e-08	4	45	16.02244086382511
invFisherQ	1e-08	4	45	17.49627936327576
invFisherQ	3.1622776601683795e-09	4	45	19.046095804280753
invFisherQ	1e-09	4	45	20.67603677131281
invFisherQ	3.1622776601683795e-10	4	45	22.39044249066439
invFisherQ	1e-10	4	45	24.193861665173024
invFisherQ	3.1622776601683794e-11	4	45	26.091066001132972
invFisherQ	1e-11	4	45	28.08706470247352
invFisherQ	3.1622776601683794e-12	4	45	30.187119134276035
invFisherQ	1e-12	4	45	32.396757809708085
invFisherQ	3.162277660168379e-13	4	45	34.72179182248545
invFisherQ	1e-13	4	45	37.168330825506935
invFisherQ	3.1622776601683796e-14	4	45	39.74279964187405
invFisherQ	1e-14	4	45	42.45195558487724
invFisherQ	3.1622776601683794e-15	4	45	45.3029065572499
invFisherQ	1e-15	4	45	48.30312999608995
invTukeyQ	0.31622776601683794	5	45	2.731015200458628
invTukeyQ	0.1	5	45	3.590281258634032
invTukeyQ	0.03162277660168379	5	45	4.280938028663031
invTukeyQ	0.01	5	45	4.892692416198588
invTukeyQ	0.0031622776601683794	5	45	5.458332595653289
invTukeyQ	0.001	5	45	5.994152582614664
invTukeyQ	0.00031622776601683794	5	45	6.509663701568827
invTukeyQ	0.0001	5	45	7.011016346871242
invTukeyQ	3.1622776601683795e-05	5	45	7.502484640621066
invTukeyQ	1e-05	5	45	7.987205233378946
invTukeyQ	3.162277660168379e-06	5	45	8.467579461838037
invTukeyQ	1e-06	5	45	8.945512818902477
invTukeyQ	3.162277660168379e-07	5	45	9.422561051156046
invTukeyQ	1e-07	5	45	9.900027548370469
invTukeyQ	3.162277660168379e-08	5	45	10.3790283769797
invTukeyQ	1e-08	5	45	10.860539670297442
invTukeyQ	3.1622776601683795e-09	5	45	11.345436733032056
invTukeyQ	1e-09	5	45	11.834539380296095
invTukeyQ	3.1622776601683795e-10	5	45	12.328687239596626
invTukeyQ	1e-10	5	45	12.828940048565048
invTukeyQ	3.1622776601683794e-11	5	45	13.337267453746689
invTukeyQ	1e-11	5	45	13.858344953324147
invTukeyQ	3.1622776601683794e-12	5	45	14.407099036439988
invTukeyQ	1e-12	5	45	15.039867262070334
