cell_id	quantity	value	source
c0028	mean_group2	87.42731120137347	praat
c0028	sd_group1	4.370170708306684	praat
c0028	sd_group2	3.485128329960061	praat
c0028	median_group1	97.88766049774816	praat
c0028	median_group2	88.11273799482314	praat
c0028	mean_diff	9.540102222409388	praat
c0028	t	8.361260986258113	praat
c0028	df	46	praat
c0028	p	8.725917123891969e-11	praat
c0028	cohens_d	2.413688140590419	praat
c0028	hedges_g	2.3740832775329577	praat
c0029	n_group1	24	praat
c0029	n_group2	24	praat
c0029	n	48	praat
c0029	mean_group1	87.42731120137347	praat
c0029	mean_group2	96.96741342378286	praat
c0029	sd_group1	3.485128329960061	praat
c0029	sd_group2	4.370170708306684	praat
c0029	median_group1	88.11273799482314	praat
c0029	median_group2	97.88766049774816	praat
c0029	mean_diff	-9.540102222409388	praat
c0029	u1	14	praat
c0029	u2	562	praat
c0029	rank_biserial	-0.9513888888888888	praat
c0029	p	3.1506217019544155e-11	praat
c0029	p_method	exact	praat
c0030	n_group1	24	praat
c0030	n_group2	24	praat
c0030	n	48	praat
c0030	mean_group1	96.96741342378286	praat
c0030	mean_group2	87.42731120137347	praat
c0030	sd_group1	4.370170708306684	praat
c0030	sd_group2	3.485128329960061	praat
c0030	median_group1	97.88766049774816	praat
c0030	median_group2	88.11273799482314	praat
c0030	mean_diff	9.540102222409388	praat
c0030	u1	562	praat
c0030	u2	14	praat
c0030	rank_biserial	0.9513888888888888	praat
c0030	p	3.1506217019544155e-11	praat
c0030	p_method	exact	praat
c0031	n_group1	24	praat
c0031	n_group2	24	praat
c0031	n	48	praat
c0031	mean_group1	87.42731120137347	praat
c0031	mean_group2	96.96741342378286	praat
c0031	sd_group1	3.485128329960061	praat
c0031	sd_group2	4.370170708306684	praat
c0031	median_group1	88.11273799482314	praat
c0031	median_group2	97.88766049774816	praat
c0031	mean_diff	-9.540102222409388	praat
c0031	t	-8.361260986258113	praat
c0031	df	43.829915078239196	praat
c0031	p	1.2663016289237486e-10	praat
c0031	cohens_d	-2.413688140590419	praat
c0031	hedges_g	-2.3740832775329577	praat
c0031	u1	14	praat
c0031	u2	562	praat
c0031	rank_biserial	-0.9513888888888888	praat
c0031	mw_p	3.1506217019544155e-11	praat
c0031	p_method	exact	praat
c0032	n_group1	24	praat
c0032	n_group2	24	praat
c0032	n	48	praat
c0032	mean_group1	96.96741342378286	praat
c0032	mean_group2	87.42731120137347	praat
c0032	sd_group1	4.370170708306684	praat
c0032	sd_group2	3.485128329960061	praat
c0032	median_group1	97.88766049774816	praat
c0032	median_group2	88.11273799482314	praat
c0032	mean_diff	9.540102222409388	praat
c0032	t	8.361260986258113	praat
c0032	df	43.829915078239196	praat
c0032	p	1.2663016289237486e-10	praat
c0032	cohens_d	2.413688140590419	praat
c0032	hedges_g	2.3740832775329577	praat
c0032	u1	562	praat
c0032	u2	14	praat
c0032	rank_biserial	0.9513888888888888	praat
c0032	mw_p	3.1506217019544155e-11	praat
c0032	p_method	exact	praat
c0033	refused	1	praat
c0033	refuse_reason	Group column "voice_type" has 3 groups. This test compares exactly 2.	praat
c0034	refused	1	praat
c0034	refuse_reason	Group column "fam" has 5 groups. This test compares exactly 2.	praat
c0035	f	18.060297415058738	praat
c0035	df_between	2	praat
c0035	df_within	42	praat
c0035	p	2.1885613623027198e-06	praat
c0035	eta_squared	0.46236968508324866	praat
c0035	n	45	praat
c0035	ss_between	601.7837208125036	praat
c0035	ss_within	699.736989188529	praat
c0035	ss_total	1301.5207100010325	praat
c0035	ms_between	300.8918604062518	praat
c0035	ms_within	16.66040450448879	praat
c0035	posthoc_soprano__mezzo_cohens_d	1.7838798367260675	praat
c0035	posthoc_soprano__alto_cohens_d	2.0839749765563775	praat
c0035	posthoc_mezzo__alto_cohens_d	0.5859358150444196	praat
c0036	f	18.060297415058745	praat
c0036	df_between	2	praat
c0036	df_within	42	praat
c0036	p	2.188561362302704e-06	praat
c0036	eta_squared	0.4623696850832487	praat
c0036	n	45	praat
c0036	ss_between	601.7837208125037	praat
c0036	ss_within	699.7369891885289	praat
c0036	ss_total	1301.5207100010325	praat
c0036	ms_between	300.89186040625185	praat
