k	df	p_target	oracle_source	v154_pass	arbiter_p	port_p	r_p	scipy_p	port_relerr_vs_arbiter	r_relerr_vs_arbiter	scipy_relerr_vs_arbiter	verdict
5	3	1e-10	R	TRUE	2.56000398252175e-10	2.56076086218633e-10	0	6.17422779569665e-11	0.000295655659032513	1	0.758819601928327	PORT_CLOSER
5	3	1e-15	R	TRUE	5.71541068115163e-11	5.76801795203707e-11	0	9.99200722162641e-16	0.00920446033019683	1	0.999982517429142	PORT_CLOSER
5	5	1e-06	grid	TRUE	1.00000000033184e-06	1.00000000033173e-06	1.00000000033184e-06	1.00000000002876e-06	1.0566736013491e-13	4.23516473486612e-15	3.03080035130041e-10	R_CLOSER
5	5	1e-10	grid	TRUE	9.99976573581008e-11	9.99976573580927e-11	9.99976573581008e-11	1.00000008274037e-10	8.12982491043241e-14	3.87749995728096e-16	2.35097101109652e-05	R_CLOSER
5	5	1e-15	grid	TRUE	6.27423916404197e-16	6.2730012451724e-16	6.27423916404197e-16	9.99200722162641e-16	0.000197301830102717	3.14325324790781e-16	0.59254484255098	R_CLOSER
5	10	1e-06	grid	TRUE	1.00000000132181e-06	9.99999993213406e-07	1.00000000132181e-06	1.00000000002876e-06	8.10840477719944e-09	8.47032946134683e-16	1.29305508458082e-09	R_CLOSER
5	10	1e-10	grid	TRUE	1.00001131241862e-10	1.00001131241872e-10	1.00001131241862e-10	1.00000008274037e-10	9.74511135086123e-14	2.45566466401013e-15	1.12295512181285e-05	R_CLOSER
5	10	1e-15	R	TRUE	2.11438793971297e-15	2.1143879397131e-15	3.17523785042795e-14	9.99200722162641e-16	5.96946957862878e-14	14.0172907761619	0.527427912638264	PORT_CLOSER
5	45	1e-06	R	TRUE	1.00000000206229e-06	1.00000000206222e-06	1.00000033098624e-06	1.00000000002876e-06	7.36918662591499e-14	3.28923945532653e-07	2.03353806084953e-09	PORT_CLOSER
5	45	1e-10	R	TRUE	1.00001986521206e-10	1.00001986521673e-10	1.00288444215835e-10	1.00000008274037e-10	4.67192668846168e-12	0.00286452004199399	1.97820787117414e-05	PORT_CLOSER
5	45	1e-15	R	TRUE	3.00700729382232e-15	3.00700729725446e-15	2.50466314355435e-13	9.99200722162641e-16	1.14137953387788e-09	82.2942157706101	0.66770924559597	PORT_CLOSER
10	3	1e-06	grid	TRUE	1.00000000035703e-06	1.0000000000895e-06	1.00000000035703e-06	1.00000000002876e-06	2.67530062338834e-10	0	3.28274394854778e-10	R_CLOSER
10	3	1e-10	R	TRUE	3.66814958708392e-10	3.6827654242634e-10	0	6.1740723644732e-11	0.00398452593943946	1	0.831684280646215	PORT_CLOSER
10	3	1e-15	R	TRUE	9.81039907434964e-11	9.91163807061039e-11	0	9.99200722162641e-16	0.0103195594280611	1	0.999989814881998	PORT_CLOSER
10	5	1e-06	grid	TRUE	1.00000000042692e-06	1.00000000026259e-06	1.00000000042692e-06	1.00000000002876e-06	1.64331379718993e-10	1.27054942033903e-15	3.98165624378791e-10	R_CLOSER
10	5	1e-10	grid	TRUE	1.00015027031192e-10	1.00015027015147e-10	1.00015027031192e-10	1.00000008274037e-10	1.6042928553696e-10	3.3599163428198e-15	0.000150165006210017	R_CLOSER
10	5	1e-15	grid	TRUE	8.1256097221714e-16	8.0996049713312e-16	8.1256097221714e-16	9.99200722162641e-16	0.00320034455620492	3.64062328332977e-16	0.229693224665023	R_CLOSER
10	10	1e-06	grid	TRUE	1.0000000027447e-06	1.00000000273292e-06	1.0000000027447e-06	1.00000000002876e-06	1.17809577145512e-11	1.05879118116181e-15	2.71594528110481e-09	R_CLOSER
10	10	1e-10	grid	TRUE	1.00002792881481e-10	1.00002792880532e-10	1.00002792881481e-10	1.00000008274037e-10	9.48917681514051e-12	5.16973444390053e-16	2.78452967523473e-05	R_CLOSER
10	10	1e-15	R	TRUE	3.8231029810023e-15	3.82310298096541e-15	3.17523785042795e-14	9.99200722162641e-16	9.64827451693673e-12	7.30539450861327	0.738641431547135	PORT_CLOSER
10	45	1e-06	grid	TRUE	1.0000000037182e-06	1.00000000371795e-06	1.0000000037182e-06	1.00000000002876e-06	2.4902768556683e-13	8.47032944104863e-16	3.6894434174941e-09	R_CLOSER
10	45	1e-10	R	TRUE	1.00003701902569e-10	1.00003701902659e-10	1.00340402653387e-10	1.0000011929634e-10	8.95002140069298e-13	0.00336688286945167	3.5824736102477e-05	PORT_CLOSER
10	45	1e-15	R	TRUE	4.92346455596449e-15	4.92346456508015e-15	2.56683563293336e-13	9.99200722162641e-16	1.85147219645366e-09	51.134743812135	0.797053332911239	PORT_CLOSER
