analysis	quantity	plugin_value	r_value	relative_difference
c0025	median_group2	97.88766049774816	97.887660497748158	0.00e+00
c0025	n	48	48	0.00e+00
c0025	n_group1	24	24	0.00e+00
c0025	n_group2	24	24	0.00e+00
c0025	p	1.2663016289237486e-10	1.2663016289237396e-10	7.14e-15
c0025	sd_group1	3.485128329960061	3.4851283299600611	0.00e+00
c0025	sd_group2	4.370170708306684	4.3701707083066843	0.00e+00
c0025	t	-8.361260986258113	-8.3612609862581149	2.12e-16
c0026	cohens_d	2.413688140590419	2.4136881405904189	0.00e+00
c0026	cohens_d	2.413688140590419	2.4136881405904189	0.00e+00
c0026	df	43.829915078239196	43.829915078239189	1.62e-16
c0026	hedges_g	2.3740832775329577	2.3740832775329745	7.11e-15
c0026	mean_diff	9.540102222409388	9.5401022224093879	0.00e+00
c0026	mean_group1	96.96741342378286	96.967413423782858	0.00e+00
c0026	mean_group2	87.42731120137347	87.42731120137347	0.00e+00
c0026	median_group1	97.88766049774816	97.887660497748158	0.00e+00
c0026	median_group2	88.11273799482314	88.112737994823135	0.00e+00
c0026	n	48	48	0.00e+00
c0026	n_group1	24	24	0.00e+00
c0026	n_group2	24	24	0.00e+00
c0026	p	1.2663016289237486e-10	1.2663016289237396e-10	7.14e-15
c0026	sd_group1	4.370170708306684	4.3701707083066843	0.00e+00
c0026	sd_group2	3.485128329960061	3.4851283299600611	0.00e+00
c0026	t	8.361260986258113	8.3612609862581149	2.12e-16
c0027	cohens_d	-2.413688140590419	-2.4136881405904189	0.00e+00
c0027	cohens_d	-2.413688140590419	-2.4136881405904189	0.00e+00
c0027	df	46	46	0.00e+00
c0027	hedges_g	-2.3740832775329577	-2.3740832775329745	7.11e-15
c0027	mean_diff	-9.540102222409388	-9.5401022224093879	0.00e+00
c0027	mean_group1	87.42731120137347	87.42731120137347	0.00e+00
c0027	mean_group2	96.96741342378286	96.967413423782858	0.00e+00
c0027	median_group1	88.11273799482314	88.112737994823135	0.00e+00
c0027	median_group2	97.88766049774816	97.887660497748158	0.00e+00
c0027	n	48	48	0.00e+00
c0027	n_group1	24	24	0.00e+00
c0027	n_group2	24	24	0.00e+00
c0027	p	8.725917123891969e-11	8.7259171238919679e-11	1.48e-16
c0027	sd_group1	3.485128329960061	3.4851283299600611	0.00e+00
c0027	sd_group2	4.370170708306684	4.3701707083066843	0.00e+00
c0027	t	-8.361260986258113	-8.3612609862581131	0.00e+00
c0028	cohens_d	2.413688140590419	2.4136881405904189	0.00e+00
c0028	cohens_d	2.413688140590419	2.4136881405904189	0.00e+00
c0028	df	46	46	0.00e+00
c0028	hedges_g	2.3740832775329577	2.3740832775329745	7.11e-15
c0028	mean_diff	9.540102222409388	9.5401022224093879	0.00e+00
c0028	mean_group1	96.96741342378286	96.967413423782858	0.00e+00
c0028	mean_group2	87.42731120137347	87.42731120137347	0.00e+00
c0028	median_group1	97.88766049774816	97.887660497748158	0.00e+00
c0028	median_group2	88.11273799482314	88.112737994823135	0.00e+00
c0028	n	48	48	0.00e+00
c0028	n_group1	24	24	0.00e+00
c0028	n_group2	24	24	0.00e+00
